edge_id,node_a,node_b,s1_star
759,338,339,0.84874718
760,337,340,0.02819279
761,338,340,0.07360938
762,337,341,-0.18963565
763,338,341,-0.14422043
764,339,340,0.22494186
765,339,341,0.00711205
766,340,341,0.78218604
767,269,346,0.61246260
768,270,346,0.57672554
769,269,344,0.59674976
770,344,346,0.76009118
771,269,345,0.53063164
772,345,346,0.66675197
773,270,344,0.65945054
774,270,345,0.60603948
775,344,345,0.77070599
776,347,348,0.83347568
777,347,351,0.05725427
778,348,351,0.09638466
779,347,349,0.48736914
780,349,351,0.57000833
781,347,350,0.98314883
782,350,351,0.20136278
783,348,349,0.52626655
784,348,350,0.76777383
785,349,350,1.36863739
786,72,352,0.60616857
787,72,353,0.67144808
788,352,353,0.76233720
789,68,354,0.51910825
790,71,354,0.48940522
791,68,357,0.45490991
792,71,357,0.53147012
793,68,358,0.61812234
794,71,358,0.54730304
795,68,355,0.72299630
796,354,355,0.93244545
797,68,356,0.53410365
798,354,356,0.61529131
799,354,357,0.67976466
800,354,358,0.76980137
801,68,359,0.48656775
802,354,359,0.76299238
803,355,357,0.79355279
804,355,358,0.85858780
805,356,357,0.74785699
806,356,358,0.90440014
807,357,358,0.71705586
808,357,359,0.69187293
809,358,359,0.87620390
810,71,355,0.61616533
811,71,356,0.59738152
812,71,359,0.47794057
813,355,356,0.87398199
814,355,359,0.84190308
815,356,359,0.85377480
816,22,193,0.69796056
817,22,360,0.65649216
818,193,360,0.95856801
819,22,361,0.53437911
820,193,361,0.83637666
821,22,362,0.39368048
822,193,362,0.69593321
823,360,361,0.87787941
824,360,362,0.73718077
825,361,362,0.85917579
826,190,363,0.73038778
827,190,364,0.72130795
828,363,364,0.99084909
829,211,365,0.74030160
830,212,365,0.72283785
831,211,366,0.74317818
832,212,366,0.73652415
833,365,366,1.02436956
834,21,139,0.62702928
835,21,140,0.62486849
836,21,367,0.58632254
837,139,367,0.53750038
838,140,367,0.46037966
839,368,369,0.94357720
840,368,370,0.94893571
841,369,370,0.80289555
842,368,371,0.80691860
843,369,371,0.67629576
844,370,371,0.66829603
845,368,372,0.75547398
846,370,372,0.83440371
847,368,373,0.82330663
848,370,373,0.83372556
849,371,372,0.92071242
850,371,373,1.05710168
851,369,372,0.87118946
852,369,373,0.68499488
853,372,373,1.01859047
854,325,374,0.80052734
855,325,375,0.93756662
856,374,375,1.13694985
857,376,377,0.69194999
858,376,378,0.91038895
859,377,378,0.64579653
860,376,380,0.70855107
861,377,380,0.93479259
862,376,379,0.69890883
863,378,379,0.90460342
864,378,380,1.05268768
865,379,380,0.75095506
866,377,379,0.76346254
867,381,382,0.67610752
868,381,383,0.71064459
869,382,383,0.70077778
870,384,385,0.98987689
871,384,386,0.83309261
872,385,386,0.84327453
873,384,387,0.97666997
874,385,387,0.98674263
875,384,388,1.21473762
876,385,388,1.22482239
877,386,387,1.09620715
878,386,388,0.80729678
879,387,388,0.89535966
880,5,24,0.92491526
881,5,26,0.73533932
882,24,26,0.81039470
883,5,389,0.66022741
884,24,389,0.73533932
885,26,389,0.92491526
886,22,139,0.65258361
887,20,390,0.27136503
888,21,390,0.45692496
889,20,391,0.58841322
890,21,391,0.53884888
891,23,140,0.63414155
892,23,390,0.40313591
893,23,391,0.47567233
894,140,390,0.60729437
895,140,391,0.49829424
896,390,391,1.12655765
897,392,393,1.19577750
898,392,394,0.75253085
899,393,394,0.58293197
900,392,395,0.83480205
901,393,395,0.61284553
902,394,395,1.00384398
903,57,354,0.37765202
904,57,356,0.39643464
905,57,396,0.47171565
906,354,396,0.79154675
907,57,397,0.37142548
908,354,397,0.70794988
909,57,398,0.42300939
910,354,398,0.78405878
911,57,399,0.48849479
912,354,399,0.85471141
913,356,396,0.77044570
914,356,397,0.73458222
915,356,398,0.88355005
916,356,399,0.93553469
917,396,397,0.62261009
918,397,398,0.80927544
919,397,399,0.84736851
920,396,398,0.77487259
921,396,399,0.78259229
922,398,399,0.93373772
